method,dataset,avg_mask_size,mask_improvement_percent,avg_leakage,leakage_ci_margin_95,avg_deletion_ratio,avg_efficiency,avg_time_ms,avg_memory_bytes
min,airport,4.0,0.0,0.0,0.0,0.6666666666666669,0.19999999999999996,10.867543220519966,1097.0
min,hospital,9.0,0.0,0.0,0.0,0.9000000000000005,0.09999999999999998,20.969917774200397,2884.0
min,adult,9.0,0.0,0.0,0.0,0.75,0.09999999999999998,36.01096391677852,5611.19
min,flight,11.0,0.0,0.0,0.0,0.8461538461538458,0.08333333333333336,61.02660417556759,6924.0
min,tax,3.0,0.0,0.0,0.0,1.0,0.25,7.541131973266552,560.0
exp,airport,3.62,27.6,0.06106800762394693,0.009448159153329234,0.6033333333333334,0.21265058615521717,2.369520664215033,3057.0
exp,hospital,7.43,17.444444444444446,0.10394319426967691,0.013214215897292424,0.743,0.10701852933636533,2.767293453216508,54661.0
exp,adult,5.16,42.666666666666664,0.11334030691227635,0.009643047314937432,0.43,0.15266018832949035,2.502720355987502,231901.0
exp,flight,5.6,49.09090909090909,0.15440791695187728,0.004062024972228975,0.4307692307692308,0.1361611516883188,4.6523785591125,473685.0
exp,tax,3.0,0.0,0.0,0.0,1.0,0.25,2.643911838531446,619.0
gumbel,airport,3.45,30.999999999999993,0.049052707085570316,0.009937983831287477,0.575,0.2285586067779763,3.36192607879634,458.0
gumbel,hospital,8.53,5.222222222222229,0.0857145309321154,0.013500825155211314,0.853,0.09598121373481545,14.36980962753291,1823.0
gumbel,adult,4.08,54.666666666666664,0.08326941882053158,0.007268014786139097,0.3400000000000001,0.18915867067532516,57.90993928909297,2858.0
gumbel,flight,3.08,72.0,0.17436266139543363,0.0018073362094720917,0.23692307692307688,0.22458084780455606,423.1255006790161,5949.0
gumbel,tax,3.0,0.0,0.0,0.0,1.0,0.25,3.312408924102732,201.0
