dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,total_time
airport,iso_country,1.0,1.0,6,7,{},0,0.8412245340616323,7,0,2,2,0,4.1961669921875e-05
airport,iso_country,1.0,1.0,6,7,{continent},1,0.5854263909130502,6,1,2,1,1,3.719329833984375e-05
airport,iso_country,1.0,1.0,6,7,{home_link},1,0.8412245340616323,7,0,2,2,0,2.5033950805664062e-05
airport,iso_country,1.0,1.0,6,7,{keywords},1,0.8412245340616323,7,0,2,2,0,2.09808349609375e-05
airport,iso_country,1.0,1.0,6,7,{municipality},1,0.8412245340616323,7,0,2,2,0,2.002716064453125e-05
airport,iso_country,1.0,1.0,6,7,{scheduled_service},1,0.7790000674332078,6,1,2,1,1,2.4080276489257812e-05
airport,iso_country,1.0,1.0,6,7,{type},1,0.8412245340616323,7,0,2,2,0,2.002716064453125e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link}",2,0.5854263909130502,6,1,2,1,1,2.3126602172851562e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords}",2,0.5854263909130502,6,1,2,1,1,2.09808349609375e-05
airport,iso_country,1.0,1.0,6,7,"{continent,municipality}",2,0.5854263909130502,6,1,2,1,1,2.09808349609375e-05
airport,iso_country,1.0,1.0,6,7,"{continent,scheduled_service}",2,0.1881888492260967,4,3,3,0,3,2.5987625122070312e-05
airport,iso_country,1.0,1.0,6,7,"{continent,type}",2,0.4441049841985556,5,2,2,1,1,2.7179718017578125e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords}",2,0.8412245340616323,7,0,2,2,0,2.09808349609375e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,municipality}",2,0.8412245340616323,7,0,2,2,0,2.002716064453125e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,scheduled_service}",2,0.7909276333060109,5,2,3,1,2,2.3126602172851562e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,type}",2,0.8412245340616323,6,1,2,2,0,2.3126602172851562e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,municipality}",2,0.8412245340616323,7,0,2,2,0,2.1219253540039062e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,scheduled_service}",2,0.7874910498390125,5,2,3,1,2,2.3126602172851562e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,type}",2,0.8412245340616323,6,1,2,2,0,2.002716064453125e-05
airport,iso_country,1.0,1.0,6,7,"{municipality,scheduled_service}",2,0.7885022072998836,5,2,3,1,2,2.8371810913085938e-05
airport,iso_country,1.0,1.0,6,7,"{municipality,type}",2,0.8412245340616323,6,1,2,2,0,2.8133392333984375e-05
airport,iso_country,1.0,1.0,6,7,"{scheduled_service,type}",2,0.7696657580600591,3,4,3,1,2,3.600120544433594e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords}",3,0.5854263909130502,6,1,2,1,1,2.8133392333984375e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,municipality}",3,0.5854263909130502,6,1,2,1,1,2.6226043701171875e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,scheduled_service}",3,0.23949776660577438,3,4,6,0,6,3.218650817871094e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,type}",3,0.45664538321266956,4,3,3,1,2,2.8848648071289062e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,municipality}",3,0.5854263909130502,6,1,2,1,1,2.6941299438476562e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,scheduled_service}",3,0.2489732228015592,3,4,6,0,6,3.600120544433594e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,type}",3,0.47323967151248825,4,3,3,1,2,2.8133392333984375e-05
airport,iso_country,1.0,1.0,6,7,"{continent,municipality,scheduled_service}",3,0.22923486712295793,3,4,6,0,6,3.409385681152344e-05
airport,iso_country,1.0,1.0,6,7,"{continent,municipality,type}",3,0.451562002999081,4,3,3,1,2,3.2901763916015625e-05
airport,iso_country,1.0,1.0,6,7,"{continent,scheduled_service,type}",3,0.16629745850771338,2,5,4,0,4,3.1948089599609375e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords,municipality}",3,0.8412245340616323,7,0,2,2,0,2.5987625122070312e-05
