dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,total_time
airport,iso_country,1.0,1.0,6,7,{},0,0.8412245340616323,7,0,2,2,0,5.4836273193359375e-05
airport,iso_country,1.0,1.0,6,7,{continent},1,0.5854263909130502,6,1,2,1,1,0.00010180473327636719
airport,iso_country,1.0,1.0,6,7,{home_link},1,0.8412245340616323,7,0,2,2,0,3.62396240234375e-05
airport,iso_country,1.0,1.0,6,7,{keywords},1,0.8412245340616323,7,0,2,2,0,2.4080276489257812e-05
airport,iso_country,1.0,1.0,6,7,{municipality},1,0.8412245340616323,7,0,2,2,0,2.2172927856445312e-05
airport,iso_country,1.0,1.0,6,7,{scheduled_service},1,0.7790000674332078,6,1,2,1,1,2.5033950805664062e-05
airport,iso_country,1.0,1.0,6,7,{type},1,0.8412245340616323,7,0,2,2,0,2.3126602172851562e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link}",2,0.5854263909130502,6,1,2,1,1,2.5033950805664062e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords}",2,0.5854263909130502,6,1,2,1,1,2.384185791015625e-05
airport,iso_country,1.0,1.0,6,7,"{continent,municipality}",2,0.5854263909130502,6,1,2,1,1,2.4080276489257812e-05
airport,iso_country,1.0,1.0,6,7,"{continent,scheduled_service}",2,0.0920468199405825,4,3,3,0,3,2.7894973754882812e-05
airport,iso_country,1.0,1.0,6,7,"{continent,type}",2,0.4441049841985556,5,2,2,1,1,2.7179718017578125e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords}",2,0.8412245340616323,7,0,2,2,0,2.384185791015625e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,municipality}",2,0.8412245340616323,7,0,2,2,0,2.288818359375e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,scheduled_service}",2,0.7790000674332078,5,2,3,1,2,2.6941299438476562e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,type}",2,0.8412245340616323,6,1,2,2,0,2.5033950805664062e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,municipality}",2,0.8412245340616323,7,0,2,2,0,2.3126602172851562e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,scheduled_service}",2,0.7790000674332078,5,2,3,1,2,2.5033950805664062e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,type}",2,0.8412245340616323,6,1,2,2,0,2.384185791015625e-05
airport,iso_country,1.0,1.0,6,7,"{municipality,scheduled_service}",2,0.7790000674332078,5,2,3,1,2,3.1948089599609375e-05
airport,iso_country,1.0,1.0,6,7,"{municipality,type}",2,0.8412245340616323,6,1,2,2,0,3.0279159545898438e-05
airport,iso_country,1.0,1.0,6,7,"{scheduled_service,type}",2,0.761776002237016,3,4,3,1,2,3.504753112792969e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords}",3,0.5854263909130502,6,1,2,1,1,3.0040740966796875e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,municipality}",3,0.5854263909130502,6,1,2,1,1,2.6941299438476562e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,scheduled_service}",3,0.0920468199405825,3,4,6,0,6,3.695487976074219e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,type}",3,0.4441049841985556,4,3,3,1,2,3.218650817871094e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,municipality}",3,0.5854263909130502,6,1,2,1,1,2.8133392333984375e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,scheduled_service}",3,0.1030083111184168,3,4,6,0,6,3.600120544433594e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,type}",3,0.46108226178420275,4,3,3,1,2,3.266334533691406e-05
airport,iso_country,1.0,1.0,6,7,"{continent,municipality,scheduled_service}",3,0.0920468199405825,3,4,6,0,6,3.981590270996094e-05
airport,iso_country,1.0,1.0,6,7,"{continent,municipality,type}",3,0.4441049841985556,4,3,3,1,2,3.886222839355469e-05
airport,iso_country,1.0,1.0,6,7,"{continent,scheduled_service,type}",3,0.1030083111184168,2,5,4,0,4,3.600120544433594e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords,municipality}",3,0.8412245340616323,7,0,2,2,0,3.0040740966796875e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords,scheduled_service}",3,0.7790000674332078,4,3,5,1,4,3.504753112792969e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords,type}",3,0.8412245340616323,5,2,2,2,0,3.0994415283203125e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,municipality,scheduled_service}",3,0.7790000674332078,4,3,5,1,4,3.981590270996094e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,municipality,type}",3,0.8412245340616323,5,2,2,2,0,4.100799560546875e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,scheduled_service,type}",3,0.761776002237016,3,4,4,1,3,3.4809112548828125e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,municipality,scheduled_service}",3,0.7790000674332078,4,3,5,1,4,3.886222839355469e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,municipality,type}",3,0.8412245340616323,5,2,2,2,0,4.458427429199219e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,scheduled_service,type}",3,0.761776002237016,3,4,4,1,3,3.409385681152344e-05
airport,iso_country,1.0,1.0,6,7,"{municipality,scheduled_service,type}",3,0.7344189464452962,1,6,1,1,0,1.621246337890625e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords,municipality}",4,0.5854263909130502,6,1,2,1,1,4.601478576660156e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords,scheduled_service}",4,0.1030083111184168,2,5,12,0,12,5.698204040527344e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords,type}",4,0.43719676844099986,3,4,5,1,4,5.817413330078125e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,municipality,scheduled_service}",4,0.0920468199405825,2,5,12,0,12,6.127357482910156e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,municipality,type}",4,0.4441049841985556,3,4,5,1,4,5.602836608886719e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,scheduled_service,type}",4,0.1030083111184168,2,5,7,0,7,4.220008850097656e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,municipality,scheduled_service}",4,0.1293012346218949,2,5,12,0,12,6.103515625e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,municipality,type}",4,0.46108226178420275,3,4,5,1,4,6.29425048828125e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,scheduled_service,type}",4,0.1030083111184168,2,5,7,0,7,4.696846008300781e-05
airport,iso_country,1.0,1.0,6,7,"{continent,municipality,scheduled_service,type}",4,0.0,0,7,0,0,0,1.5735626220703125e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords,municipality,scheduled_service}",4,0.7790000674332078,3,4,9,1,8,6.699562072753906e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords,municipality,type}",4,0.8412245340616323,4,3,2,2,0,5.507469177246094e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords,scheduled_service,type}",4,0.761776002237016,3,4,6,1,5,4.220008850097656e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,municipality,scheduled_service,type}",4,0.7344189464452962,1,6,1,1,0,1.5974044799804688e-05
airport,iso_country,1.0,1.0,6,7,"{keywords,municipality,scheduled_service,type}",4,0.7344189464452962,1,6,1,1,0,1.5020370483398438e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords,municipality,scheduled_service}",5,0.019693909457180414,1,6,12,0,12,5.984306335449219e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords,municipality,type}",5,0.4111329067705787,2,5,5,1,4,5.507469177246094e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords,scheduled_service,type}",5,0.1030083111184168,2,5,1,0,1,2.193450927734375e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,municipality,scheduled_service,type}",5,0.0,0,7,0,0,0,1.5020370483398438e-05
airport,iso_country,1.0,1.0,6,7,"{continent,keywords,municipality,scheduled_service,type}",5,0.0,0,7,0,0,0,2.193450927734375e-05
airport,iso_country,1.0,1.0,6,7,"{home_link,keywords,municipality,scheduled_service,type}",5,0.7344189464452962,1,6,1,1,0,1.4781951904296875e-05
airport,iso_country,1.0,1.0,6,7,"{continent,home_link,keywords,municipality,scheduled_service,type}",6,0.0,0,7,0,0,0,1.3828277587890625e-05
adult,education,1.0,1.0,12,42,{},0,0.9588560192028217,42,0,4,4,0,0.00010013580322265625
adult,education,1.0,1.0,12,42,{age},1,0.9588560192028217,42,0,4,4,0,0.0001049041748046875
adult,education,1.0,1.0,12,42,{capital_gain},1,0.9564469346394947,41,1,4,3,1,9.989738464355469e-05
adult,education,1.0,1.0,12,42,{capital_loss},1,0.9588560192028217,42,0,4,4,0,8.702278137207031e-05
adult,education,1.0,1.0,12,42,{class},1,0.956349892522266,41,1,4,3,1,8.296966552734375e-05
adult,education,1.0,1.0,12,42,{education_num},1,0.3624484411685971,40,2,4,2,2,8.487701416015625e-05
adult,education,1.0,1.0,12,42,{hours_per_week},1,0.9588560192028217,42,0,4,4,0,7.796287536621094e-05
adult,education,1.0,1.0,12,42,{marital_status},1,0.9588560192028217,42,0,4,4,0,7.915496826171875e-05
adult,education,1.0,1.0,12,42,{native_country},1,0.9588560192028217,42,0,4,4,0,7.081031799316406e-05
adult,education,1.0,1.0,12,42,{occupation},1,0.9588560192028217,42,0,4,4,0,6.890296936035156e-05
adult,education,1.0,1.0,12,42,{race},1,0.9588560192028217,42,0,4,4,0,7.200241088867188e-05
adult,education,1.0,1.0,12,42,{relationship},1,0.9518324958518896,41,1,4,3,1,8.606910705566406e-05
adult,education,1.0,1.0,12,42,{sex},1,0.951217108765742,41,1,4,3,1,8.0108642578125e-05
