dc_id,dc_str,m,nV,nE_best,best_head_idx,best_base,weight
1,t0.capital-gain float LESS t1.capital-gain float AND t0.Hours-per-week float GREATER t1.Hours-per-week float AND t0.relationship str EQUAL t1.relationship str,3,100000,2427,1,0.09662123924669373,0.0
2,t0.class str EQUAL t1.class str AND t0.Hours-per-week float LESS t1.Hours-per-week float AND t0.capital-loss float LESS t1.capital-loss float,3,100000,2132,0,0.291377200727823,0.04137720072782303
3,t0.Marital-status str UNEQUAL t1.Marital-status str AND t0.capital-gain float UNEQUAL t1.capital-gain float AND t0.relationship str EQUAL t1.relationship str,3,100000,4913,0,0.7968714471121452,0.5468714471121452
4,t0.occupation str EQUAL t1.occupation str AND t0.education str EQUAL t1.education str AND t0.Hours-per-week float EQUAL t1.Hours-per-week float,3,100000,0,-1,0.0,0.0
5,t0.class str EQUAL t1.class str AND t0.Hours-per-week float GREATER t1.Hours-per-week float AND t0.capital-loss float LESS t1.capital-loss float,3,100000,23722,2,0.2225946991476763,0.0
6,t0.Education-num int EQUAL t1.Education-num int AND t0.occupation str EQUAL t1.occupation str AND t0.Hours-per-week float EQUAL t1.Hours-per-week float,3,100000,0,-1,0.0,0.0
7,t0.education str EQUAL t1.education str AND t0.age int EQUAL t1.age int,2,100000,0,-1,0.0,0.0
8,t0.capital-loss float UNEQUAL t1.capital-loss float AND t0.capital-gain float UNEQUAL t1.capital-gain float,2,100000,9083,1,0.43103221745368464,0.18103221745368464
9,t0.capital-loss float UNEQUAL t1.capital-loss float AND t0.relationship str EQUAL t1.relationship str AND t0.Hours-per-week float EQUAL t1.Hours-per-week float,3,100000,0,-1,0.0,0.0
10,t0.capital-gain float LESS t1.capital-gain float AND t0.Hours-per-week float GREATER t1.Hours-per-week float AND t0.Marital-status str EQUAL t1.Marital-status str,3,100000,2946,1,0.07804049436022478,0.0
11,t0.workclass str EQUAL t1.workclass str AND t0.Hours-per-week float GREATER t1.Hours-per-week float AND t0.capital-loss float LESS t1.capital-loss float,3,100000,18834,2,0.19721081518363096,0.0
12,t0.race str UNEQUAL t1.race str AND t0.Native-country str UNEQUAL t1.Native-country str AND t0.occupation str EQUAL t1.occupation str,3,100000,0,-1,0.0,0.0
13,t0.class str EQUAL t1.class str AND t0.capital-loss float LESS t1.capital-loss float AND t0.Marital-status str EQUAL t1.Marital-status str,3,100000,1737,0,0.0837610850243802,0.0
14,t0.race str UNEQUAL t1.race str AND t0.Education-num int GREATER_EQUAL t1.Education-num int AND t0.capital-loss float LESS t1.capital-loss float,3,100000,15499,2,0.16827083402354198,0.0
15,t0.workclass str UNEQUAL t1.workclass str AND t0.Hours-per-week float EQUAL t1.Hours-per-week float AND t0.capital-loss float LESS t1.capital-loss float,3,100000,2466,1,0.0064998212067619455,0.0
16,t0.Education-num int EQUAL t1.Education-num int AND t0.Native-country str UNEQUAL t1.Native-country str AND t0.occupation str EQUAL t1.occupation str,3,100000,2299,1,0.12538991768557722,0.0
17,t0.workclass str EQUAL t1.workclass str AND t0.Hours-per-week float LESS t1.Hours-per-week float AND t0.capital-loss float LESS t1.capital-loss float,3,100000,2132,0,0.03340462374328043,0.0
18,t0.Education-num int EQUAL t1.Education-num int AND t0.age int EQUAL t1.age int,2,100000,0,-1,0.0,0.0
19,t0.Native-country str UNEQUAL t1.Native-country str AND t0.age int LESS_EQUAL t1.age int AND t0.occupation str EQUAL t1.occupation str,3,100000,0,-1,0.0,0.0
20,t0.Education-num int EQUAL t1.Education-num int AND t0.Hours-per-week float LESS t1.Hours-per-week float AND t0.occupation str EQUAL t1.occupation str,3,100000,2299,1,0.03141273174312798,0.0
21,t0.workclass str UNEQUAL t1.workclass str AND t0.occupation str EQUAL t1.occupation str AND t0.education str EQUAL t1.education str,3,100000,2299,0,0.17399344917865922,0.0
22,t0.Education-num int EQUAL t1.Education-num int AND t0.workclass str UNEQUAL t1.workclass str AND t0.occupation str EQUAL t1.occupation str,3,100000,2299,1,0.17399344917865922,0.0
23,t0.capital-gain float LESS t1.capital-gain float AND t0.relationship str EQUAL t1.relationship str AND t0.Hours-per-week float EQUAL t1.Hours-per-week float,3,100000,0,-1,0.0,0.0
24,t0.capital-loss float UNEQUAL t1.capital-loss float AND t0.Hours-per-week float EQUAL t1.Hours-per-week float AND t0.Marital-status str EQUAL t1.Marital-status str,3,100000,0,-1,0.0,0.0
25,t0.fnlwgt int GREATER_EQUAL t1.fnlwgt int AND t0.capital-loss float LESS t1.capital-loss float AND t0.sex str UNEQUAL t1.sex str,3,100000,2331,2,0.022974156737962454,0.0
26,t0.education str EQUAL t1.education str AND t0.relationship str EQUAL t1.relationship str AND t0.sex str UNEQUAL t1.sex str,3,100000,5208,2,0.5425383406180412,0.2925383406180412
27,t0.Native-country str UNEQUAL t1.Native-country str AND t0.education str EQUAL t1.education str AND t0.Hours-per-week float EQUAL t1.Hours-per-week float,3,100000,5103,1,0.08211340542495947,0.0
28,t0.fnlwgt int LESS_EQUAL t1.fnlwgt int AND t0.capital-loss float LESS t1.capital-loss float AND t0.sex str UNEQUAL t1.sex str,3,100000,2276,2,0.039767443158833495,0.0
29,t0.Native-country str UNEQUAL t1.Native-country str AND t0.class str UNEQUAL t1.class str AND t0.education str EQUAL t1.education str,3,100000,6799,2,0.2742196642081877,0.02421966420818772
30,t0.Native-country str UNEQUAL t1.Native-country str AND t0.capital-loss float UNEQUAL t1.capital-loss float AND t0.fnlwgt int LESS_EQUAL t1.fnlwgt int,3,100000,0,-1,0.0,0.0
31,t0.Education-num int EQUAL t1.Education-num int AND t0.occupation str EQUAL t1.occupation str AND t0.Marital-status str EQUAL t1.Marital-status str,3,100000,0,-1,0.0,0.0
32,t0.capital-gain float LESS t1.capital-gain float AND t0.fnlwgt int LESS_EQUAL t1.fnlwgt int AND t0.Hours-per-week float EQUAL t1.Hours-per-week float,3,100000,11832,0,0.01621521323574452,0.0
33,t0.class str UNEQUAL t1.class str AND t0.occupation str EQUAL t1.occupation str AND t0.education str EQUAL t1.education str,3,100000,2299,0,0.043857935681869666,0.0
34,t0.capital-gain float LESS t1.capital-gain float AND t0.Hours-per-week float EQUAL t1.Hours-per-week float AND t0.Marital-status str EQUAL t1.Marital-status str,3,100000,0,-1,0.0,0.0
35,t0.workclass str UNEQUAL t1.workclass str AND t0.Hours-per-week float GREATER t1.Hours-per-week float AND t0.capital-loss float LESS t1.capital-loss float,3,100000,2466,1,0.10093117787872856,0.0
36,t0.workclass str EQUAL t1.workclass str AND t0.capital-loss float LESS t1.capital-loss float AND t0.Marital-status str EQUAL t1.Marital-status str,3,100000,1737,0,0.09658796754291395,0.0
37,t0.Native-country str UNEQUAL t1.Native-country str AND t0.capital-loss float UNEQUAL t1.capital-loss float AND t0.Hours-per-week float LESS t1.Hours-per-week float,3,100000,3596,0,0.03993185446673901,0.0
38,t0.Hours-per-week float LESS t1.Hours-per-week float AND t0.capital-loss float LESS t1.capital-loss float AND t0.Marital-status str EQUAL t1.Marital-status str,3,100000,0,-1,0.0,0.0
39,t0.race str UNEQUAL t1.race str AND t0.class str UNEQUAL t1.class str AND t0.occupation str EQUAL t1.occupation str,3,100000,2381,1,0.12451011473497689,0.0
40,t0.occupation str EQUAL t1.occupation str AND t0.education str EQUAL t1.education str AND t0.relationship str EQUAL t1.relationship str,3,100000,0,-1,0.0,0.0
41,t0.fnlwgt int GREATER_EQUAL t1.fnlwgt int AND t0.Hours-per-week float GREATER t1.Hours-per-week float AND t0.capital-loss float LESS t1.capital-loss float,3,100000,2331,1,0.14867696566665847,0.0
