dataset,target_cell,tau,rho,num_base_rdrs,num_surviving_rdrs,survival_rate,num_candidates,num_vertices,num_edges,min_leakage,max_leakage,mean_leakage,median_leakage,std_leakage,leakage_1.0_count,leakage_<0.5_count,compute_time
airport,home_link,0.2,0.2,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,0.2,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,0.2,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.17
airport,home_link,0.5,0.2,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.28
airport,home_link,0.6,0.2,38,22,0.5789,2048,12,22,0.000000,1.000000,0.915236,1.000000,0.243245,1824,224,0.35
airport,home_link,0.7,0.2,38,23,0.6053,2048,12,23,0.000000,1.000000,0.915446,1.000000,0.242665,1824,224,0.29
airport,home_link,0.8,0.2,38,24,0.6316,2048,12,24,0.000000,1.000000,0.921035,1.000000,0.236190,1840,208,0.39
airport,home_link,0.9,0.2,38,26,0.6842,2048,12,26,0.000000,1.000000,0.994951,1.000000,0.066067,2036,12,0.30
airport,home_link,1.0,0.2,38,38,1.0000,2048,12,38,0.000000,1.000000,0.999197,1.000000,0.026272,2046,2,0.54
airport,home_link,0.2,0.3,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,0.3,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,0.3,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,0.3,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.22
airport,home_link,0.6,0.3,38,22,0.5789,2048,12,22,0.000000,1.000000,0.801556,1.000000,0.319645,1470,578,0.24
airport,home_link,0.7,0.3,38,23,0.6053,2048,12,23,0.000000,1.000000,0.803240,1.000000,0.318474,1474,574,0.27
airport,home_link,0.8,0.3,38,24,0.6316,2048,12,24,0.000000,1.000000,0.819792,1.000000,0.310440,1524,524,0.28
airport,home_link,0.9,0.3,38,26,0.6842,2048,12,26,0.000000,1.000000,0.993523,1.000000,0.073466,2032,16,0.31
airport,home_link,1.0,0.3,38,38,1.0000,2048,12,38,0.000000,1.000000,0.999197,1.000000,0.026272,2046,2,0.55
airport,home_link,0.2,0.4,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,0.4,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,0.4,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,0.4,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.21
airport,home_link,0.6,0.4,38,22,0.5789,2048,12,22,0.000000,1.000000,0.687494,1.000000,0.330504,1060,981,0.24
airport,home_link,0.7,0.4,38,23,0.6053,2048,12,23,0.000000,1.000000,0.688824,1.000000,0.329751,1062,980,0.26
airport,home_link,0.8,0.4,38,24,0.6316,2048,12,24,0.000000,1.000000,0.718952,1.000000,0.327676,1160,885,0.29
airport,home_link,0.9,0.4,38,26,0.6842,2048,12,26,0.000000,1.000000,0.993523,1.000000,0.073466,2032,16,0.30
airport,home_link,1.0,0.4,38,38,1.0000,2048,12,38,0.000000,1.000000,0.999197,1.000000,0.026272,2046,2,0.54
airport,home_link,0.2,0.5,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,0.5,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,0.5,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,0.5,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.21
airport,home_link,0.6,0.5,38,22,0.5789,2048,12,22,0.000000,1.000000,0.678731,0.765695,0.328720,1024,994,0.24
airport,home_link,0.7,0.5,38,23,0.6053,2048,12,23,0.000000,1.000000,0.679609,0.766925,0.327874,1024,992,0.27
airport,home_link,0.8,0.5,38,24,0.6316,2048,12,24,0.000000,1.000000,0.686524,0.778935,0.322442,1024,920,0.28
airport,home_link,0.9,0.5,38,26,0.6842,2048,12,26,0.000000,1.000000,0.990046,1.000000,0.083095,2016,18,0.30
airport,home_link,1.0,0.5,38,38,1.0000,2048,12,38,0.000000,1.000000,0.998782,1.000000,0.029609,2044,3,0.54
airport,home_link,0.2,0.6,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,0.6,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,0.6,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,0.6,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.22
airport,home_link,0.6,0.6,38,22,0.5789,2048,12,22,0.000000,0.600735,0.468489,0.517748,0.132012,0,994,0.25
airport,home_link,0.7,0.6,38,23,0.6053,2048,12,23,0.000000,0.600735,0.469580,0.518366,0.131477,0,992,0.26
airport,home_link,0.8,0.6,38,24,0.6316,2048,12,24,0.000000,0.600735,0.476821,0.528209,0.129299,0,920,0.29
airport,home_link,0.9,0.6,38,26,0.6842,2048,12,26,0.000000,1.000000,0.978387,1.000000,0.102102,1936,18,0.29
airport,home_link,1.0,0.6,38,38,1.0000,2048,12,38,0.000000,1.000000,0.998452,1.000000,0.030726,2040,3,0.54
airport,home_link,0.2,0.7,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,0.7,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
