-----hospital-----
attribute,time,row,cells
HospitalOwner,0.2528080940246582,8553,6
CountyName,0.29319095611572266,110097,7
HospitalOwner,0.24985599517822266,70504,6
HospitalType,0.04869985580444336,10648,1
MeasureName,0.3796529769897461,38500,9
Sample,0.04703330993652344,14192,1
ProviderNumber,0.5700128078460693,36356,14
Sample,0.054875850677490234,80295,1
MeasureCode,0.049540042877197266,60350,1
MeasureName,0.37159228324890137,108454,9
MeasureCode,0.049282073974609375,96056,1
StateAvg,0.48926281929016113,65611,12
HospitalName,0.5799717903137207,107015,14
MeasureCode,0.04972076416015625,88442,1
HospitalOwner,0.25126004219055176,24698,6
Condition,0.17210817337036133,68985,4
CountyName,0.29048919677734375,3858,7
PhoneNumber,0.46122074127197266,82921,11
PhoneNumber,0.46552586555480957,95830,11
EmergencyService,0.12874865531921387,109363,3
MeasureName,0.37807416915893555,104681,9
HospitalName,0.5889980792999268,12728,14
ProviderNumber,0.5838730335235596,73959,14
HospitalName,0.6422209739685059,86239,14
HospitalOwner,0.27846407890319824,81650,6
HospitalType,0.04687213897705078,22887,1
MeasureCode,0.045558929443359375,12135,1
MeasureName,0.3841841220855713,43717,9
Condition,0.17177391052246094,90281,4
CountyName,0.29966187477111816,15637,7
MeasureName,0.37645483016967773,16571,9
ProviderNumber,0.5866067409515381,58248,14
HospitalName,0.5725769996643066,34729,14
State,0.47670984268188477,2181,11
HospitalName,0.5813660621643066,96640,14
ProviderNumber,0.5799059867858887,59439,14
EmergencyService,0.13027620315551758,26588,3
MeasureCode,0.04843616485595703,21399,1
PhoneNumber,0.45772886276245117,66000,11
ZIPCode,0.047254085540771484,20810,1
HospitalType,0.04666495323181152,68159,1
HospitalType,0.04810619354248047,89670,1
Sample,0.04790925979614258,72554,1
ZIPCode,0.048317909240722656,99977,1
City,0.37502312660217285,67140,9
MeasureCode,0.04764604568481445,93692,1
ProviderNumber,0.575995922088623,49263,14
HospitalType,0.04849982261657715,77945,1
City,0.37925291061401367,1043,9
ZIPCode,0.04862380027770996,108791,1
City,0.377871036529541,15473,9
MeasureName,0.3766341209411621,89704,9
HospitalType,0.04945683479309082,75253,1
MeasureName,0.375377893447876,104675,9
ZIPCode,0.04763197898864746,27758,1
EmergencyService,0.1341259479522705,11193,3
PhoneNumber,0.4545409679412842,46214,11
Condition,0.17139387130737305,41172,4
State,0.45751214027404785,90807,11
CountyName,0.2932279109954834,47102,7
MeasureCode,0.04840493202209473,11514,1
MeasureName,0.37586402893066406,95706,9
HospitalType,0.048124074935913086,58410,1
State,0.459122896194458,16764,11
CountyName,0.29341793060302734,104322,7
StateAvg,0.49853086471557617,37942,12
Sample,0.049577951431274414,88373,1
Sample,0.04757213592529297,96049,1
ZIPCode,0.04815387725830078,21681,1
ProviderNumber,0.5856759548187256,108859,14
CountyName,0.29643893241882324,30233,7
HospitalName,0.58524489402771,62135,14
HospitalOwner,0.25550103187561035,107423,6
Condition,0.1737368106842041,52966,4
EmergencyService,0.1315140724182129,113121,3
StateAvg,0.5052108764648438,34510,12
Condition,0.17202997207641602,66866,4
ZIPCode,0.049277305603027344,56985,1
MeasureName,0.39043140411376953,5953,9
Sample,0.05070781707763672,12473,1
ZIPCode,0.04862213134765625,48493,1
MeasureCode,0.04846382141113281,53049,1
MeasureName,0.38199710845947266,92889,9
CountyName,0.2967500686645508,99581,7
ZIPCode,0.049894094467163086,47448,1
HospitalName,0.5899789333343506,83682,14
HospitalOwner,0.2554490566253662,84262,6
MeasureCode,0.04809093475341797,22606,1
HospitalType,0.04818391799926758,52632,1
MeasureCode,0.04836893081665039,83213,1
State,0.45822596549987793,58656,11
State,0.4593348503112793,41130,11
State,0.4542732238769531,110558,11
HospitalName,0.5849730968475342,1369,14
ZIPCode,0.0471651554107666,9947,1
PhoneNumber,0.45891618728637695,44138,11
ZIPCode,0.049340009689331055,75343,1
State,0.4578676223754883,53932,11
MeasureName,0.37633299827575684,113343,9
PhoneNumber,0.45653510093688965,36490,11
-----tax-----
attribute,time,row,cells
phone,0.21229290962219238,590,6
rate,0.14310979843139648,17610,4
area_code,0.31641316413879395,47614,9
has_child,0.21115493774414062,66044,6
gender,0.04064178466796875,51627,1
lname,0.03931117057800293,12956,1
has_child,0.20714998245239258,49310,6
zip,0.3395822048187256,66353,10
gender,0.07479071617126465,63441,2
rate,0.13854002952575684,18194,4
gender,0.04021883010864258,21893,1
has_child,0.20572781562805176,72813,6
state,0.43709826469421387,17321,13
has_child,0.20487403869628906,95029,6
zip,0.34018468856811523,25955,10
gender,0.07456493377685547,69957,2
has_child,0.20602107048034668,61955,6
married_exemp,0.6575798988342285,1657,19
gender,0.043550968170166016,82638,1
phone,0.20926523208618164,28208,6
phone,0.21133208274841309,44951,6
area_code,0.3132600784301758,1257,9
fname,0.11070585250854492,41458,3
state,0.4479789733886719,2984,13
rate,0.1420307159423828,9327,4
area_code,0.30571579933166504,63311,9
lname,0.04032111167907715,89013,1
rate,0.13919806480407715,7195,4
rate,0.13934683799743652,50516,4
phone,0.20877790451049805,71563,6
zip,0.34136414527893066,92181,10
lname,0.07447290420532227,92360,2
fname,0.10666608810424805,93418,3
area_code,0.3114461898803711,68560,9
has_child,0.20924615859985352,96264,6
area_code,0.30821990966796875,32664,9
has_child,0.20699501037597656,74395,6
zip,0.3405749797821045,20262,10
has_child,0.20710992813110352,60454,6
marital_status,0.5368902683258057,17336,16
child_exemp,0.20785188674926758,96061,6
has_child,0.20688891410827637,11096,6
married_exemp,0.6460328102111816,43312,19
city,0.1083369255065918,17922,3
gender,0.040995121002197266,18071,1
area_code,0.31377196311950684,22761,9
fname,0.10938405990600586,96261,3
married_exemp,0.6554789543151855,18559,19
child_exemp,0.21092987060546875,37378,6
marital_status,0.5657873153686523,88714,16
salary,0.14113092422485352,30532,4
married_exemp,0.6615779399871826,98611,19
phone,0.2143850326538086,97787,6
area_code,0.3193800449371338,89163,9
area_code,0.31416893005371094,89656,9
has_child,0.20950818061828613,47038,6
